fuente;numero victima;municipio id;municipio nombre;fecha hecho;hora hecho;momento hecho;edad;sexo;clase victima;vehiculo victima;tipo via;tipo incidente;clima
Ministerio de Seguridad;1-2017-537;60778;San Vicente;04/01/2017;11:20:00;Diurno;3;Femenino;Peatón;Peatón;Sin especificar;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-1119;60778;San Vicente;05/01/2017;4:20:00;Nocturno;21;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Nublado
Ministerio de Seguridad;1-2017-1041;60466;Lezama;06/01/2017;12:30:00;Diurno;45;Masculino;Acompañante;Vehículo;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-1042;60056;Bahía Blanca;06/01/2017;12:30:00;Diurno;22;Masculino;Conductor;Vehículo;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-322;60778;San Vicente;06/01/2017;0:40:00;Nocturno;Sin especificar;Femenino;Acompañante;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-323;60778;San Vicente;06/01/2017;0:40:00;Nocturno;6;Masculino;Acompañante;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-324;60134;Cañuelas;06/01/2017;0:40:00;Nocturno;40;Masculino;Acompañante;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-392;60274;Florencio Varela;06/01/2017;12:40:00;Diurno;62;Masculino;Conductor;Camioneta;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-4;60218;Chascomús;06/01/2017;22:30:00;Nocturno;Sin especificar;Femenino;Acompañante;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-629;60274;Florencio Varela;06/01/2017;21:50:00;Nocturno;20;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-325;60134;Cañuelas;07/01/2017;12:25:00;Diurno;48;Masculino;Conductor;Vehículo;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-3;60134;Cañuelas;08/01/2017;0:20:00;Nocturno;59;Femenino;Acompañante;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Lluvia
Ministerio de Seguridad;1-2017-391;60049;Azul;08/01/2017;20:35:00;Nocturno;40;Masculino;Conductor;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-988;60260;Esteban Echeverría;08/01/2017;7:30:00;Diurno;27;Masculino;Conductor;Sin especificar;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-1120;60648;Presidente Perón;09/01/2017;14:55:00;Diurno;88;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-503;60778;San Vicente;09/01/2017;19:30:00;Nocturno;50;Femenino;Acompañante;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-538;60638;Pilar;10/01/2017;11:00:00;Diurno;54;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Bueno
Ministerio de Seguridad;1-2017-649;;;10/01/2017;20:35:00;Nocturno;Sin especificar;Masculino;Sin especificar;Sin especificar;Calle;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-989;60070;Baradero;10/01/2017;21:10:00;Nocturno;26;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Egresos hospitalarios;2-2017-1187;60648;Presidente Perón;10/01/2017;Sin especificar;Sin especificar;46;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-5;60515;Malvinas Argentinas;11/01/2017;15:20:00;Diurno;25;Femenino;Acompañante;Vehículo;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-6;60515;Malvinas Argentinas;11/01/2017;15:20:00;Diurno;34;Femenino;Conductor;Vehículo;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-697;60778;San Vicente;11/01/2017;19:10:00;Nocturno;16;Masculino;Conductor;Motocicleta;Calle;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-916;;;11/01/2017;11:28:00;Diurno;63;Masculino;Conductor;Sin especificar;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Egresos hospitalarios;2-2017-1199;60134;Cañuelas;11/01/2017;Sin especificar;Sin especificar;53;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-860;60515;Malvinas Argentinas;12/01/2017;19:00:00;Diurno;18;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Egresos hospitalarios;2-2017-1200;;;13/01/2017;Sin especificar;Sin especificar;34;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-326;60655;Punta Indio;14/01/2017;14:00:00;Diurno;35;Femenino;Conductor;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-438;60274;Florencio Varela;15/01/2017;9:00:00;Diurno;26;Masculino;Conductor;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-462;60274;Florencio Varela;15/01/2017;2:00:00;Nocturno;22;Masculino;Conductor;Motocicleta;Sin especificar;Colisión vehículo/Objeto;Sin especificar
Ministerio de Seguridad;1-2017-576;60638;Pilar;15/01/2017;7:00:00;Nocturno;25;Masculino;Acompañante;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-577;60056;Bahía Blanca;15/01/2017;7:00:00;Nocturno;23;Masculino;Acompañante;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-578;60056;Bahía Blanca;15/01/2017;7:00:00;Nocturno;23;Femenino;Acompañante;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-579;60056;Bahía Blanca;15/01/2017;7:00:00;Nocturno;48;Masculino;Conductor;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Egresos hospitalarios;2-2017-1244;60778;San Vicente;15/01/2017;Sin especificar;Sin especificar;17;Femenino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-221;60028;Almirante Brown;16/01/2017;12:30:00;Diurno;84;Masculino;Conductor;Bicicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-492;60412;José C. Paz;16/01/2017;13:41:00;Diurno;45;Masculino;Conductor;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-9;60274;Florencio Varela;16/01/2017;13:50:00;Diurno;46;Masculino;Conductor;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-274;60778;San Vicente;17/01/2017;20:58:00;Nocturno;25;Femenino;Acompañante;Camioneta;Ruta nacional;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-571;60638;Pilar;17/01/2017;11:11:00;Diurno;63;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-393;60274;Florencio Varela;18/01/2017;22:40:00;Nocturno;48;Masculino;Conductor;Camioneta;Ruta provincial;Vuelco/Despiste;Sin especificar
Egresos hospitalarios;2-2017-1225;60028;Almirante Brown;18/01/2017;Sin especificar;Sin especificar;87;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-10;60063;Balcarce;19/01/2017;21:50:00;Nocturno;20;Femenino;Acompañante;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-171;;;19/01/2017;19:30:00;Nocturno;30;Masculino;Conductor;Motocicleta;Ruta nacional;Sin especificar;Bueno
Ministerio de Seguridad;1-2017-222;60098;Berisso;19/01/2017;21:45:00;Nocturno;20;Femenino;Acompañante;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Nublado
Ministerio de Seguridad;1-2017-284;60056;Bahía Blanca;19/01/2017;19:00:00;Diurno;39;Masculino;Conductor;Motocicleta;Ruta nacional;Sin especificar;Bueno
Ministerio de Seguridad;1-2017-394;60412;José C. Paz;19/01/2017;20:40:00;Nocturno;40;Femenino;Pasajero;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-395;60274;Florencio Varela;19/01/2017;20:40:00;Nocturno;Sin especificar;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-7;60098;Berisso;19/01/2017;21:15:00;Nocturno;41;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-722;60274;Florencio Varela;19/01/2017;5:45:00;Nocturno;Sin especificar;Masculino;Conductor;Sin especificar;Autopista nacional;Sin especificar;Bueno
Ministerio de Seguridad;1-2017-11;60063;Balcarce;20/01/2017;23:15:00;Diurno;61;Femenino;Conductor;Vehículo;Ruta provincial;Colisión vehículo/Objeto;Bueno
Ministerio de Seguridad;1-2017-12;60412;José C. Paz;20/01/2017;23:15:00;Diurno;63;Masculino;Acompañante;Vehículo;Ruta provincial;Colisión vehículo/Objeto;Bueno
Ministerio de Seguridad;1-2017-283;60274;Florencio Varela;20/01/2017;6:20:00;Nocturno;Sin especificar;Masculino;Sin especificar;Camioneta;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-650;60134;Cañuelas;20/01/2017;6:30:00;Nocturno;57;Femenino;Conductor;Vehículo;Autopista nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-463;;;21/01/2017;4:30:00;Nocturno;76;Femenino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-593;60638;Pilar;21/01/2017;11:30:00;Diurno;27;Masculino;Conductor;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-594;60134;Cañuelas;21/01/2017;3:30:00;Nocturno;35;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Egresos hospitalarios;2-2017-1273;;;21/01/2017;Sin especificar;Sin especificar;76;Femenino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-595;60134;Cañuelas;22/01/2017;17:45:00;Diurno;20;Masculino;Acompañante;Vehículo;Sin especificar;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-787;;;22/01/2017;20:00:00;Nocturno;37;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Otro
Ministerio de Seguridad;1-2017-788;;;22/01/2017;20:00:00;Nocturno;17;Masculino;Sin especificar;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Otro
Ministerio de Seguridad;1-2017-13;60274;Florencio Varela;23/01/2017;6:30:00;Nocturno;21;Masculino;Conductor;Motocicleta;Ruta nacional;Colisión vehículo/Objeto;Bueno
Ministerio de Seguridad;1-2017-8;;;23/01/2017;4:45:00;Nocturno;65;Masculino;Conductor;Vehículo;Ruta nacional;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-1043;60274;Florencio Varela;24/01/2017;16:00:00;Diurno;Sin especificar;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-14;60638;Pilar;24/01/2017;18:30:00;Diurno;3;Masculino;Acompañante;Vehículo;Ruta provincial;Colisión vehículo/Vehículo;Lluvia
Ministerio de Seguridad;1-2017-15;60515;Malvinas Argentinas;24/01/2017;5:50:00;Nocturno;28;Masculino;Conductor;Camión;Autopista nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-493;60042;Ayacucho;24/01/2017;2:25:00;Nocturno;20;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-504;60655;Punta Indio;24/01/2017;18:30:00;Diurno;41;Femenino;Acompañante;Camioneta;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-505;60655;Punta Indio;24/01/2017;18:30:00;Diurno;6;Femenino;Acompañante;Camioneta;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-506;60655;Punta Indio;24/01/2017;18:30:00;Diurno;44;Masculino;Conductor;Camioneta;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-507;60655;Punta Indio;24/01/2017;18:30:00;Diurno;54;Masculino;Acompañante;Camioneta;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-508;60134;Cañuelas;24/01/2017;18:30:00;Diurno;3;Masculino;Acompañante;Camioneta;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-824;;;25/01/2017;12:45:00;Diurno;68;Masculino;Conductor;Vehículo;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-861;60134;Cañuelas;25/01/2017;23:40:00;Nocturno;23;Femenino;Acompañante;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-22;60412;José C. Paz;26/01/2017;22:10:00;Nocturno;73;Masculino;Conductor;Vehículo;Autopista provincial;Colisión vehículo/Objeto;Bueno
Ministerio de Seguridad;1-2017-539;60412;José C. Paz;26/01/2017;5:10:00;Nocturno;34;Masculino;Conductor;Vehículo;Ruta provincial;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-990;60274;Florencio Varela;26/01/2017;17:00:00;Diurno;64;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Egresos hospitalarios;2-2017-1233;60515;Malvinas Argentinas;26/01/2017;Sin especificar;Sin especificar;23;Femenino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-17;60134;Cañuelas;28/01/2017;19:25:00;Nocturno;53;Masculino;Conductor;Camioneta;Ruta nacional;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-223;60778;San Vicente;28/01/2017;7:00:00;Nocturno;32;Masculino;Acompañante;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-224;60778;San Vicente;28/01/2017;7:00:00;Nocturno;41;Masculino;Conductor;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-225;60778;San Vicente;28/01/2017;7:00:00;Nocturno;26;Masculino;Acompañante;Vehículo;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-226;60515;Malvinas Argentinas;28/01/2017;10:45:00;Diurno;79;Masculino;Conductor;Vehículo;Ruta provincial;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-285;60098;Berisso;28/01/2017;6:30:00;Nocturno;15;Femenino;Acompañante;Motocicleta;Calle;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-509;60056;Bahía Blanca;28/01/2017;12:30:00;Diurno;23;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-520;60056;Bahía Blanca;28/01/2017;4:30:00;Nocturno;28;Femenino;Conductor;Vehículo;Ruta provincial;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-540;60260;Esteban Echeverría;28/01/2017;19:50:00;Nocturno;Sin especificar;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-723;60274;Florencio Varela;28/01/2017;21:30:00;Nocturno;50;Masculino;Conductor;Sin especificar;Autopista nacional;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-863;60778;San Vicente;28/01/2017;21:00:00;Nocturno;64;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-16;60098;Berisso;29/01/2017;23:30:00;Nocturno;Sin especificar;Masculino;Conductor;Vehículo;Ruta nacional;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-825;;;29/01/2017;11:50:00;Diurno;80;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-862;60134;Cañuelas;29/01/2017;17:00:00;Diurno;26;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-19;60070;Baradero;30/01/2017;2:00:00;Nocturno;22;Masculino;Peatón;Peatón;Ruta nacional;Colisión vehículo/Persona;Bueno
Ministerio de Seguridad;1-2017-396;60274;Florencio Varela;30/01/2017;1:45:00;Nocturno;22;Masculino;Peatón;Peatón;Ruta nacional;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-397;60274;Florencio Varela;30/01/2017;1:45:00;Nocturno;16;Masculino;Peatón;Peatón;Ruta nacional;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-580;60028;Almirante Brown;30/01/2017;4:05:00;Nocturno;23;Masculino;Sin especificar;Camioneta;Ruta provincial;Vuelco/Despiste;Bueno
Egresos hospitalarios;2-2017-1262;60412;José C. Paz;30/01/2017;Sin especificar;Sin especificar;22;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1121;60134;Cañuelas;31/01/2017;13:40:00;Diurno;86;Masculino;Acompañante;Vehículo;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-172;;;31/01/2017;9:30:00;Diurno;54;Femenino;Acompañante;Camioneta;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-173;;;31/01/2017;9:30:00;Diurno;68;Masculino;Acompañante;Camioneta;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-18;;;31/01/2017;6:00:00;Nocturno;54;Femenino;Acompañante;Camioneta;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Egresos hospitalarios;2-2017-1201;60028;Almirante Brown;31/01/2017;Sin especificar;Sin especificar;21;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-174;60218;Chascomús;01/02/2017;16:20:00;Diurno;24;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Egresos hospitalarios;2-2017-1272;;;01/02/2017;Sin especificar;Sin especificar;56;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Egresos hospitalarios;2-2017-1274;;;01/02/2017;Sin especificar;Sin especificar;59;Femenino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Reparos;3-2017-1314;60412;José C. Paz;01/02/2017;9:20:00;Diurno;19;Femenino;Ocupante de vehículo sin especificar;Motocicleta;Calle;Sin especificar;Sin especificar
Reparos;3-2017-1316;60056;Bahía Blanca;01/02/2017;18:00:00;Diurno;65;Femenino;Ocupante de vehículo sin especificar;Motocicleta;Calle;Sin especificar;Sin especificar
Reparos;3-2017-1317;60098;Berisso;01/02/2017;5:45:00;Nocturno;31;Masculino;Ocupante de vehículo sin especificar;Motocicleta;Calle;Sin especificar;Sin especificar
Reparos;3-2017-1339;60274;Florencio Varela;01/02/2017;10:25:00;Diurno;71;Masculino;Ocupante de vehículo sin especificar;Bicicleta;Calle;Sin especificar;Sin especificar
Reparos;3-2017-1350;;;01/02/2017;17:00:00;Diurno;76;Masculino;Ocupante de vehículo sin especificar;Sin especificar;Calle;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-175;;;02/02/2017;20:30:00;Nocturno;37;Masculino;Conductor;Motocicleta;Sin especificar;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-20;60638;Pilar;02/02/2017;23:50:00;Nocturno;60;Masculino;Conductor;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-565;60260;Esteban Echeverría;02/02/2017;16:00:00;Diurno;23;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-950;60098;Berisso;03/02/2017;0:40:00;Nocturno;Sin especificar;Masculino;Peatón;Peatón;Ruta nacional;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-991;60070;Baradero;03/02/2017;19:00:00;Diurno;23;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Egresos hospitalarios;2-2017-1248;60274;Florencio Varela;03/02/2017;Sin especificar;Sin especificar;21;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1046;60260;Esteban Echeverría;04/02/2017;20:00:00;Nocturno;49;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-21;60056;Bahía Blanca;04/02/2017;4:45:00;Nocturno;6;Masculino;Acompañante;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-227;60274;Florencio Varela;04/02/2017;4:00:00;Nocturno;27;Femenino;Acompañante;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Nublado
Ministerio de Seguridad;1-2017-228;60098;Berisso;04/02/2017;4:00:00;Nocturno;6;Masculino;Pasajero;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Nublado
Ministerio de Seguridad;1-2017-698;60638;Pilar;04/02/2017;18:50:00;Diurno;Sin especificar;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-699;60274;Florencio Varela;05/02/2017;17:00:00;Diurno;87;Masculino;Sin especificar;Sin especificar;Calle;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-724;60655;Punta Indio;05/02/2017;12:50:00;Diurno;69;Femenino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Bueno
Ministerio de Seguridad;1-2017-287;60134;Cañuelas;06/02/2017;17:30:00;Diurno;88;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-951;60778;San Vicente;06/02/2017;17:45:00;Diurno;30;Masculino;Acompañante;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-864;60638;Pilar;07/02/2017;15:20:00;Diurno;26;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-1115;60412;José C. Paz;08/02/2017;18:40:00;Diurno;68;Masculino;Conductor;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-1116;60134;Cañuelas;08/02/2017;18:40:00;Diurno;60;Masculino;Acompañante;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-1122;60655;Punta Indio;08/02/2017;20:14:00;Nocturno;54;Masculino;Conductor;Automóvil;Autopista provincial;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-286;;;08/02/2017;5:20:00;Nocturno;67;Masculino;Conductor;Camioneta;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-464;;;08/02/2017;1:00:00;Nocturno;36;Masculino;Conductor;Automóvil;Sin especificar;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-465;;;08/02/2017;1:00:00;Nocturno;40;Masculino;Conductor;Automóvil;Sin especificar;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-327;60778;San Vicente;09/02/2017;18:00:00;Diurno;87;Masculino;Conductor;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-1044;60274;Florencio Varela;10/02/2017;20:10:00;Nocturno;32;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-1123;60638;Pilar;11/02/2017;7:45:00;Diurno;32;Masculino;Acompañante;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
